"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Sambhu(Ghaggar)",156,30.403832,76.736825,866.23,"90000","01-09-2019","{""car_single"":null,""car_multi"":110,""car_monthly"":2220,""lcv_single"":null,""lcv_multi"":195,""lcv_monthly"":3885,""bus_multi"":390,""bus_monthly"":7770,""multiaxle_single"":415,""multiaxle_multi"":625,""multiaxle_monthly"":12485,""hcm_single"":415,""hcm_multi"":625,""hcm_monthly"":12485,""four_six_axle_single"":415,""four_six_axle_multi"":625,""four_six_axle_monthly"":12485,""seven_plus_axle_single"":415,""seven_plus_axle_multi"":625,""seven_plus_axle_monthly"":12485}","<b style='color:#22A7EA'>Sambhu(Ghaggar)</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","NA","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",43553,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Manish Sharma / 8222867685"
"Ladowal",157,30.990725,75.790082,419.34,"90000","01-09-2019","{""car_single"":null,""car_multi"":195,""car_monthly"":3870,""lcv_single"":null,""lcv_multi"":340,""lcv_monthly"":6775,""bus_multi"":675,""bus_monthly"":13545,""multiaxle_single"":725,""multiaxle_multi"":1090,""multiaxle_monthly"":21770,""hcm_single"":725,""hcm_multi"":1090,""hcm_monthly"":21770,""four_six_axle_single"":725,""four_six_axle_multi"":1090,""four_six_axle_monthly"":21770,""seven_plus_axle_single"":725,""seven_plus_axle_multi"":1090,""seven_plus_axle_monthly"":21770}","<b style='color:#22A7EA'>Ladowal</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","NA","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",59175,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Chanchal Raj / 8222848982"
"Karanja (Ghadge)",158,21.162103,78.399287,240.84,"NA","01-09-2019","{""car_single"":null,""car_multi"":85,""car_monthly"":1665,""lcv_single"":null,""lcv_multi"":145,""lcv_monthly"":2915,""bus_multi"":290,""bus_monthly"":5830,""multiaxle_single"":310,""multiaxle_multi"":470,""multiaxle_monthly"":9365,""hcm_single"":415,""hcm_multi"":625,""hcm_monthly"":12490,""four_six_axle_single"":310,""four_six_axle_multi"":470,""four_six_axle_monthly"":9365,""seven_plus_axle_single"":310,""seven_plus_axle_multi"":470,""seven_plus_axle_monthly"":9365}","<b style='color:#22A7EA'>Karanja (Ghadge)</b><br/><b> </b> M/s Oriental Pathways (Nagpur) Pvt Ltd","212.00","BOT (Toll)","21-04-2008","24-04-2008","1997","06.09.2006-05.09.2026",13376,,"M/s Oriental Pathways (Nagpur) Pvt Ltd","Mr Harshit Agrawal / 9764446414"
"Srinagar",159,28.00548,77.332377,266.3,"120000","01-04-2020","{""car_single"":null,""car_multi"":160,""car_monthly"":3580,""lcv_single"":null,""lcv_multi"":260,""lcv_monthly"":5785,""bus_multi"":545,""bus_monthly"":12120,""multiaxle_single"":570,""multiaxle_multi"":855,""multiaxle_monthly"":19005,""hcm_single"":570,""hcm_multi"":855,""hcm_monthly"":19005,""four_six_axle_single"":570,""four_six_axle_multi"":855,""four_six_axle_monthly"":19005,""seven_plus_axle_single"":695,""seven_plus_axle_multi"":1040,""seven_plus_axle_monthly"":23135}","<b style='color:#22A7EA'>Srinagar</b><br/><b> </b> M/s DA Toll Road Pvt Ltd","1928.00","BOT (Toll)","18-01-2010","10-06-2002","2008","16.10.2012-15.10.2038",38506,62608,"M/s DA Toll Road Pvt Ltd","/ 0"
"Mahuvan",160,27.337188,77.737458,379.81,"120000","01-04-2019","{""car_single"":null,""car_multi"":155,""car_monthly"":3450,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5575,""bus_multi"":525,""bus_monthly"":11680,""multiaxle_single"":550,""multiaxle_multi"":825,""multiaxle_monthly"":18320,""hcm_single"":550,""hcm_multi"":825,""hcm_monthly"":18320,""four_six_axle_single"":550,""four_six_axle_multi"":825,""four_six_axle_monthly"":18320,""seven_plus_axle_single"":670,""seven_plus_axle_multi"":1005,""seven_plus_axle_monthly"":22305}","<b style='color:#22A7EA'>Mahuvan</b><br/><b> </b> M/s DA Toll Road Pvt Ltd","1928.00","BOT (Toll)","18-01-2010","10-06-2002","2008","16.10.2012-15.10.2038",37532,62608,"M/s DA Toll Road Pvt Ltd","NA / 0"
"Lalanagar",161,25.266948,82.491513,272.23,"NA","21-12-2017","{""car_single"":null,""car_multi"":85,""car_monthly"":1925,""lcv_single"":null,""lcv_multi"":140,""lcv_monthly"":3110,""bus_multi"":295,""bus_monthly"":6510,""multiaxle_single"":215,""multiaxle_multi"":320,""multiaxle_monthly"":7105,""hcm_single"":305,""hcm_multi"":460,""hcm_monthly"":10210,""four_six_axle_single"":305,""four_six_axle_multi"":460,""four_six_axle_monthly"":10210,""seven_plus_axle_single"":375,""seven_plus_axle_multi"":560,""seven_plus_axle_monthly"":12430}","<b style='color:#22A7EA'>Lalanagar</b><br/><b> </b> Jawahar Lal Gupta","295.62","Public Funded","21-02-2013","19-04-2008","2008 as amended with transition","14.03.2016 - 13.03.2017",33287,26431,"Jawahar Lal Gupta","Sh.  Deepak Rajpal / 8433999990"
"Salemgarh",162,26.631703,84.238336,52.11,"NA","01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1705,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2750,""bus_multi"":260,""bus_monthly"":5765,""multiaxle_single"":190,""multiaxle_multi"":285,""multiaxle_monthly"":6290,""hcm_single"":270,""hcm_multi"":405,""hcm_monthly"":9040,""four_six_axle_single"":270,""four_six_axle_multi"":405,""four_six_axle_monthly"":9040,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":495,""seven_plus_axle_monthly"":11005}","<b style='color:#22A7EA'>Salemgarh</b><br/><b> </b> M/s Gorakhpur-Kasiya Tollways Pvt Ltd","455.58","OMT","22-05-2012","16-12-2012","2008 as amended","05.08.2015-04.08.2024",15127,,"M/s Gorakhpur-Kasiya Tollways Pvt Ltd","Pradeep / 7409312174"
"Muziana Hetim",163,26.733855,83.808555,52.11,"NA","01-04-2020","{""car_single"":null,""car_multi"":75,""car_monthly"":1710,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2765,""bus_multi"":260,""bus_monthly"":5790,""multiaxle_single"":190,""multiaxle_multi"":285,""multiaxle_monthly"":6320,""hcm_single"":270,""hcm_multi"":410,""hcm_monthly"":9085,""four_six_axle_single"":270,""four_six_axle_multi"":410,""four_six_axle_monthly"":9085,""seven_plus_axle_single"":330,""seven_plus_axle_multi"":500,""seven_plus_axle_monthly"":11060}","<b style='color:#22A7EA'>Muziana Hetim</b><br/><b> </b> M/s Gorakhpur Kasiya Toll way Pvt Ltd","498.31","OMT","03-01-2013","19-01-2013","2008 as amended","05.08.2015-04.08.2024",27886,,"M/s Gorakhpur Kasiya Toll way Pvt Ltd","Sarfraj / 7607195367"
"Chaukadi",164,26.781312,82.417008,290.65,"NA","01-04-2020","{""car_single"":null,""car_multi"":155,""car_monthly"":3395,""lcv_single"":null,""lcv_multi"":240,""lcv_monthly"":5340,""bus_multi"":495,""bus_monthly"":11015,""multiaxle_single"":360,""multiaxle_multi"":540,""multiaxle_monthly"":12055,""hcm_single"":510,""hcm_multi"":765,""hcm_monthly"":16995,""four_six_axle_single"":510,""four_six_axle_multi"":765,""four_six_axle_monthly"":16995,""seven_plus_axle_single"":640,""seven_plus_axle_multi"":960,""seven_plus_axle_monthly"":21370}","<b style='color:#22A7EA'>Chaukadi</b><br/><b> </b> M/s Ayodhya-Gorakhpur Sms Toll Pvt Ltd","646.14","OMT","25-06-2013","16-10-2012","2008 as amended","03.08.2013-02.08.2022",35407,,"M/s Ayodhya-Gorakhpur Sms Toll Pvt Ltd","Mr Bandu Hiwarale & Indrabhushan Tiwari / 9721524297"
"Katoghan",165,25.749487,81.170481,225.86,"NA","01-04-2019","{""car_single"":null,""car_multi"":85,""car_monthly"":1840,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2975,""bus_multi"":280,""bus_monthly"":6235,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6800,""hcm_single"":295,""hcm_multi"":440,""hcm_monthly"":9775,""four_six_axle_single"":295,""four_six_axle_multi"":440,""four_six_axle_monthly"":9775,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11900}","<b style='color:#22A7EA'>Katoghan</b><br/><b> </b> Ms Shiva Buildtech Pvt. Ltd.","265.77","Public Funded","29-01-2013","18-07-2007","2008 as amended with transition","NA",24808,,"Ms Shiva Buildtech Pvt. Ltd.","Mr Ashutosh Parikh / 7317089999"
