"name","id","lat","lon","cumulative_revenue","design_capacity","fee_effective_date","rates","location","capital_cost","project_type","date_fee_notification","date_commercial_operation","fee_rule","concessions_period","traffic_per_day","target_traffic_per_day","contractor_name","contact_details"
"Malera",138,24.712368,73.093755,36.13,"35000","01-04-2021","{""car_single"":null,""car_multi"":150,""car_monthly"":3350,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":5410,""bus_multi"":510,""bus_monthly"":11335,""multiaxle_single"":370,""multiaxle_multi"":555,""multiaxle_monthly"":12365,""hcm_single"":535,""hcm_multi"":800,""hcm_monthly"":17775,""four_six_axle_single"":535,""four_six_axle_multi"":800,""four_six_axle_monthly"":17775,""seven_plus_axle_single"":650,""seven_plus_axle_multi"":975,""seven_plus_axle_monthly"":21640}","<b style='color:#22A7EA'>Malera</b><br/><b> </b> Ms SPC Infrastructure Pvt. Ltd.","12.88","OMT","21-07-2011","09-05-2009","2008","01.10.2011-30.09.2017",8609,6120,"Ms SPC Infrastructure Pvt. Ltd.","Sh.  Ravindra Singh Tomar / 8003892793"
"Ghoti",139,19.708905,73.614819,773.1,"40000","01-07-2021","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":675,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":675,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":675,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":675,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Ghoti</b><br/><b> </b> M/s Mumbai-Nashik Expressway Ltd Mumbai","579.00","BOT (Toll)","21-04-2010","25-05-2010","1997","12.04.2006-12.04.2026",67924,39900,"M/s Mumbai-Nashik Expressway Ltd Mumbai","Sh. Anil Raj / 7387888826"
"Vaghasia",140,22.42301,71.088805,213.17,"4","01-04-2021","{""car_single"":null,""car_multi"":145,""car_monthly"":3215,""lcv_single"":null,""lcv_multi"":235,""lcv_monthly"":5195,""bus_multi"":490,""bus_monthly"":10885,""multiaxle_single"":355,""multiaxle_multi"":535,""multiaxle_monthly"":11875,""hcm_single"":510,""hcm_multi"":770,""hcm_monthly"":17070,""four_six_axle_single"":510,""four_six_axle_multi"":770,""four_six_axle_monthly"":17070,""seven_plus_axle_single"":625,""seven_plus_axle_multi"":935,""seven_plus_axle_monthly"":20785}","<b style='color:#22A7EA'>Vaghasia</b><br/><b> </b> Bamanbore tollway pvt Ltd","435.81","Public Funded","01-01-2001","01-09-2009","2008 as amended","30 Years",137990,1738674,"Bamanbore tollway pvt Ltd","Mr. Ranjan Rai / 9106710068"
"Lakhanpur/ Rajbagh",141,32.382605,75.598788,,"26000","01-04-2021","{""car_single"":null,""car_multi"":130,""car_monthly"":2945,""lcv_single"":null,""lcv_multi"":215,""lcv_monthly"":4755,""bus_multi"":450,""bus_monthly"":9960,""multiaxle_single"":325,""multiaxle_multi"":490,""multiaxle_monthly"":10865,""hcm_single"":470,""hcm_multi"":705,""hcm_monthly"":15620,""four_six_axle_single"":470,""four_six_axle_multi"":705,""four_six_axle_monthly"":15620,""seven_plus_axle_single"":570,""seven_plus_axle_multi"":855,""seven_plus_axle_monthly"":19015}","<b style='color:#22A7EA'>Lakhanpur/ Rajbagh</b><br/><b> </b> Ms Choudhary Power Project Pvt. Ltd.","1584.67","Public Funded","04-03-2014","22-02-2017","2008 as amended","",29393,18000,"Ms Choudhary Power Project Pvt. Ltd.","NA / 0"
"Dhumiyani",142,21.751451,70.326793,109.47,"4","01-04-2021","{""car_single"":null,""car_multi"":150,""car_monthly"":3340,""lcv_single"":null,""lcv_multi"":245,""lcv_monthly"":5395,""bus_multi"":510,""bus_monthly"":11300,""multiaxle_single"":370,""multiaxle_multi"":555,""multiaxle_monthly"":12330,""hcm_single"":530,""hcm_multi"":795,""hcm_monthly"":17720,""four_six_axle_single"":530,""four_six_axle_multi"":795,""four_six_axle_monthly"":17720,""seven_plus_axle_single"":645,""seven_plus_axle_multi"":970,""seven_plus_axle_monthly"":21575}","<b style='color:#22A7EA'>Dhumiyani</b><br/><b> </b> Porbander Jetpur Tollways Pvt Ltd.","421.01","Public Funded","10-12-2014","30-01-2009","2008 as amended","30 Years",107964,1360350,"Porbander Jetpur Tollways Pvt Ltd.","Sanjay Singh / 7387988999"
"Chandwad",143,20.325014,74.210751,223.04,"40000","01-07-2021","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":810,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":810,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":810,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":810,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Chandwad</b><br/><b> </b> M/s lrcon - Soma Tollway Pvt Ltd","788.97","0","21-06-2013","25-10-2009","1997","NA",13819,52737,"M/s lrcon - Soma Tollway Pvt Ltd","Sh. Amarnath / 9503104743"
"Khedshivapur",144,18.3313849,73.8525197,554.85,"120000","01-04-2021","{""car_single"":null,""car_multi"":150,""car_monthly"":3325,""lcv_single"":null,""lcv_multi"":240,""lcv_monthly"":5370,""bus_multi"":505,""bus_monthly"":11250,""multiaxle_single"":530,""multiaxle_multi"":795,""multiaxle_monthly"":17640,""hcm_single"":530,""hcm_multi"":795,""hcm_monthly"":17640,""four_six_axle_single"":530,""four_six_axle_multi"":795,""four_six_axle_monthly"":17640,""seven_plus_axle_single"":645,""seven_plus_axle_multi"":965,""seven_plus_axle_monthly"":21475}","<b style='color:#22A7EA'>Khedshivapur</b><br/><b> </b> M/s PS Toll Road Pvt Ltd","1724.55","BOT (Toll)","26-08-2010","05-05-2007","2008","01.10.2010-30.09.2034",82234,60848,"M/s PS Toll Road Pvt Ltd","Krishna Rao / 9689285753"
"Baswant (Pimplegaon)",145,20.141701,73.976492,52.69,"59000","01-11-2021","{""car_single"":null,""car_multi"":290,""car_monthly"":6390,""lcv_single"":null,""lcv_multi"":465,""lcv_monthly"":10320,""bus_multi"":975,""bus_monthly"":21620,""multiaxle_single"":710,""multiaxle_multi"":1060,""multiaxle_monthly"":23585,""hcm_single"":1015,""hcm_multi"":1525,""hcm_monthly"":33905,""four_six_axle_single"":1015,""four_six_axle_multi"":1525,""four_six_axle_monthly"":33905,""seven_plus_axle_single"":1240,""seven_plus_axle_multi"":1855,""seven_plus_axle_monthly"":41275}","<b style='color:#22A7EA'>Baswant (Pimplegaon)</b><br/><b> </b> Ms Skylark Infra Engineering Pvt. Ltd.","940.00","Public Funded","21-09-2012","02-10-2012","2008 as amended","11.12.2016  -  11.12.2017",37186,76700,"Ms Skylark Infra Engineering Pvt. Ltd.","Sh. Yogesh Singh / 8087474863"
"Sendurwafa",146,21.088119,80.032855,309.4,"42000","01-09-2021","{""car_single"":null,""car_multi"":125,""car_monthly"":2495,""lcv_single"":null,""lcv_multi"":220,""lcv_monthly"":4365,""bus_multi"":435,""bus_monthly"":8735,""multiaxle_single"":470,""multiaxle_multi"":700,""multiaxle_monthly"":14035,""hcm_single"":470,""hcm_multi"":700,""hcm_monthly"":14035,""four_six_axle_single"":470,""four_six_axle_multi"":700,""four_six_axle_monthly"":14035,""seven_plus_axle_single"":470,""seven_plus_axle_multi"":700,""seven_plus_axle_monthly"":14035}","<b style='color:#22A7EA'>Sendurwafa</b><br/><b> </b> M/s Ashoka Highways (Bhandara) Ltd","424.00","BOT (Toll)","28-09-2010","21-10-2010","1997","15.03.2008-14.03.2028",19575,23050,"M/s Ashoka Highways (Bhandara) Ltd","Mr Dhiraj Dixit / 8308824392"
"Shirpur",147,21.319718,74.889291,600.18,"60000","01-04-2021","{""car_single"":null,""car_multi"":165,""car_monthly"":3650,""lcv_single"":null,""lcv_multi"":255,""lcv_monthly"":5695,""bus_multi"":525,""bus_monthly"":11680,""multiaxle_single"":535,""multiaxle_multi"":805,""multiaxle_monthly"":17890,""hcm_single"":535,""hcm_multi"":805,""hcm_monthly"":17890,""four_six_axle_single"":535,""four_six_axle_multi"":805,""four_six_axle_monthly"":17890,""seven_plus_axle_single"":685,""seven_plus_axle_multi"":1025,""seven_plus_axle_monthly"":22780}","<b style='color:#22A7EA'>Shirpur</b><br/><b> </b> M/s Dhule Palesner Tollway Ltd","1420.00","BOT (Toll)","08-09-2011","11-02-2012","2008","21.12.2009-20.12.2027",31750,37000,"M/s Dhule Palesner Tollway Ltd","Mr Justin / 8087495922"
"Gondhkhairi/ Kondhali",148,21.137001,78.89666,129.02,"40000","01-09-2021","{""car_single"":null,""car_multi"":70,""car_monthly"":1400,""lcv_single"":null,""lcv_multi"":125,""lcv_monthly"":2450,""bus_multi"":245,""bus_monthly"":4905,""multiaxle_single"":265,""multiaxle_multi"":395,""multiaxle_monthly"":7880,""hcm_single"":350,""hcm_multi"":525,""hcm_monthly"":10505,""four_six_axle_single"":265,""four_six_axle_multi"":395,""four_six_axle_monthly"":7880,""seven_plus_axle_single"":265,""seven_plus_axle_multi"":395,""seven_plus_axle_monthly"":7880}","<b style='color:#22A7EA'>Gondhkhairi/ Kondhali</b><br/><b> </b> M/s Atlanta Infra Assets Pvt Ltd","168.00","BOT (Toll)","30-12-2010","22-09-2011","1997","05.06.2006-04.06.2026",13249,,"M/s Atlanta Infra Assets Pvt Ltd","Mr Junaid Baig / 9970070795"
"Chandimandir",149,30.738834,76.897977,159.03,"120960","01-09-2021","{""car_single"":null,""car_multi"":50,""car_monthly"":955,""lcv_single"":null,""lcv_multi"":85,""lcv_monthly"":1670,""bus_multi"":165,""bus_monthly"":3345,""multiaxle_single"":180,""multiaxle_multi"":270,""multiaxle_monthly"":5375,""hcm_single"":180,""hcm_multi"":270,""hcm_monthly"":5375,""four_six_axle_single"":180,""four_six_axle_multi"":270,""four_six_axle_monthly"":5375,""seven_plus_axle_single"":180,""seven_plus_axle_multi"":270,""seven_plus_axle_monthly"":5375}","<b style='color:#22A7EA'>Chandimandir</b><br/><b> </b> M/s Himalyan Expressway Ltd","740.00","BOT (Toll)","02-04-2012","06-04-2012","1997","01.03.2008-28.02.2028",56053,45000,"M/s Himalyan Expressway Ltd","Col(Redt) P. sharma / 9878925500"
"Dighal",150,28.776746,76.621688,218.75,"30000","01-04-2021","{""car_single"":null,""car_multi"":70,""car_monthly"":1575,""lcv_single"":null,""lcv_multi"":115,""lcv_monthly"":2545,""bus_multi"":240,""bus_monthly"":5335,""multiaxle_single"":250,""multiaxle_multi"":375,""multiaxle_monthly"":8370,""hcm_single"":250,""hcm_multi"":375,""hcm_monthly"":8370,""four_six_axle_single"":250,""four_six_axle_multi"":375,""four_six_axle_monthly"":8370,""seven_plus_axle_single"":305,""seven_plus_axle_multi"":460,""seven_plus_axle_monthly"":10190}","<b style='color:#22A7EA'>Dighal</b><br/><b> </b> M/s Kurukshera Expressway Pvt Ltd","650.00","BOT (Toll)","26-03-2013","01-09-2013","2008","10.05.2011-09.05.2039",28012,21917,"M/s Kurukshera Expressway Pvt Ltd","Mr Dinesh Bhanwala / 8059996511"
"Dhilwan",151,31.499318,75.323065,207.15,"100","01-09-2019","{""car_single"":null,""car_multi"":40,""car_monthly"":825,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1440,""bus_multi"":145,""bus_monthly"":2885,""multiaxle_single"":155,""multiaxle_multi"":230,""multiaxle_monthly"":4635,""hcm_single"":205,""hcm_multi"":310,""hcm_monthly"":6180,""four_six_axle_single"":155,""four_six_axle_multi"":230,""four_six_axle_monthly"":4635,""seven_plus_axle_single"":155,""seven_plus_axle_multi"":230,""seven_plus_axle_monthly"":4635}","<b style='color:#22A7EA'>Dhilwan</b><br/><b> </b> Ms Ranchor Infra Developers Pvt. Ltd.","439.84","0","30-06-2009","30-04-2010","1997","23.12.2021-23.03.2022",42535,,"Ms Ranchor Infra Developers Pvt. Ltd.","Sh. K. RAGHAV REDDY / 9915015341"
"Gangaycha Jatt",152,28.275006,76.613363,218.7,"30000","01-04-2021","{""car_single"":null,""car_multi"":125,""car_monthly"":2750,""lcv_single"":null,""lcv_multi"":195,""lcv_monthly"":4280,""bus_multi"":395,""bus_monthly"":8770,""multiaxle_single"":405,""multiaxle_multi"":605,""multiaxle_monthly"":13440,""hcm_single"":405,""hcm_multi"":605,""hcm_monthly"":13440,""four_six_axle_single"":405,""four_six_axle_multi"":605,""four_six_axle_monthly"":13440,""seven_plus_axle_single"":515,""seven_plus_axle_multi"":770,""seven_plus_axle_monthly"":17125}","<b style='color:#22A7EA'>Gangaycha Jatt</b><br/><b> </b> M/s Kurukshera Expressway Pvt Ltd","650.00","BOT (Toll)","26-03-2013","01-09-2013","2008","10.05.2011-09.05.2039",28119,19208,"M/s Kurukshera Expressway Pvt Ltd","Mr Gulab Singh / 8059998737"
"Nijjarpura",153,31.577704,74.997072,207.15,"100","01-09-2019","{""car_single"":null,""car_multi"":40,""car_monthly"":825,""lcv_single"":null,""lcv_multi"":70,""lcv_monthly"":1440,""bus_multi"":145,""bus_monthly"":2885,""multiaxle_single"":155,""multiaxle_multi"":230,""multiaxle_monthly"":4635,""hcm_single"":205,""hcm_multi"":310,""hcm_monthly"":6180,""four_six_axle_single"":155,""four_six_axle_multi"":230,""four_six_axle_monthly"":4635,""seven_plus_axle_single"":155,""seven_plus_axle_multi"":230,""seven_plus_axle_monthly"":4635}","<b style='color:#22A7EA'>Nijjarpura</b><br/><b> </b> MS Skylark Infra Engg. Pvt. Ltd.","439.84","BOT (Toll)","30-06-2009","30-04-2010","1997","29.05.2006-28.05.2026",14257,,"MS Skylark Infra Engg. Pvt. Ltd.","Sh.  Venu Madhav Reddy / 9988380558"
"Panipat Elevated",154,29.433664,76.97014,407.18,"190305","17-07-2021","{""car_single"":null,""car_multi"":null,""car_monthly"":null,""lcv_single"":null,""lcv_multi"":null,""lcv_monthly"":null,""bus_multi"":null,""bus_monthly"":null,""multiaxle_single"":105,""multiaxle_multi"":null,""multiaxle_monthly"":null,""hcm_single"":105,""hcm_multi"":null,""hcm_monthly"":null,""four_six_axle_single"":105,""four_six_axle_multi"":null,""four_six_axle_monthly"":null,""seven_plus_axle_single"":105,""seven_plus_axle_multi"":null,""seven_plus_axle_monthly"":null}","<b style='color:#22A7EA'>Panipat Elevated</b><br/><b> </b> M/s L&amp;T Panipat Elevated Corridor Limited","421.50","BOT (Toll)","09-07-2008","17-07-2008","1997","23.01.2006-22.01.2026",62000,63260,"M/s L&T Panipat Elevated Corridor Limited","Surjit Singh / 1806612244"
"Gharaunda (Karnal)",155,29.584373,76.978792,1181.1,"90000","01-09-2021","{""car_single"":null,""car_multi"":190,""car_monthly"":3810,""lcv_single"":null,""lcv_multi"":335,""lcv_monthly"":6670,""bus_multi"":665,""bus_monthly"":13335,""multiaxle_single"":715,""multiaxle_multi"":1070,""multiaxle_monthly"":21430,""hcm_single"":715,""hcm_multi"":1070,""hcm_monthly"":21430,""four_six_axle_single"":715,""four_six_axle_multi"":1070,""four_six_axle_monthly"":21430,""seven_plus_axle_single"":715,""seven_plus_axle_multi"":1070,""seven_plus_axle_monthly"":21430}","<b style='color:#22A7EA'>Gharaunda (Karnal)</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","2747.50","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",71779,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Anil Kumar / 9992600344"
"Sambhu(Ghaggar)",156,30.403832,76.736825,866.23,"90000","01-09-2021","{""car_single"":null,""car_multi"":115,""car_monthly"":2285,""lcv_single"":null,""lcv_multi"":200,""lcv_monthly"":4000,""bus_multi"":400,""bus_monthly"":8000,""multiaxle_single"":430,""multiaxle_multi"":645,""multiaxle_monthly"":12860,""hcm_single"":430,""hcm_multi"":645,""hcm_monthly"":12860,""four_six_axle_single"":430,""four_six_axle_multi"":645,""four_six_axle_monthly"":12860,""seven_plus_axle_single"":430,""seven_plus_axle_multi"":645,""seven_plus_axle_monthly"":12860}","<b style='color:#22A7EA'>Sambhu(Ghaggar)</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","NA","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",43553,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Manish Sharma / 8222867685"
"Ladowal",157,30.990725,75.790082,419.34,"90000","01-09-2021","{""car_single"":null,""car_multi"":200,""car_monthly"":3985,""lcv_single"":null,""lcv_multi"":350,""lcv_monthly"":6975,""bus_multi"":700,""bus_monthly"":13955,""multiaxle_single"":750,""multiaxle_multi"":1120,""multiaxle_monthly"":22425,""hcm_single"":750,""hcm_multi"":1120,""hcm_monthly"":22425,""four_six_axle_single"":750,""four_six_axle_multi"":1120,""four_six_axle_monthly"":22425,""seven_plus_axle_single"":750,""seven_plus_axle_multi"":1120,""seven_plus_axle_monthly"":22425}","<b style='color:#22A7EA'>Ladowal</b><br/><b> </b> M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","NA","BOT (Toll)","06-04-2009","24-06-2002","1997","05.11.2009-04.11.2024",59175,69443,"M/s Panipat Jalandhar NH-1 Tollway Pvt Ltd","Chanchal Raj / 8222848982"
"Karanja (Ghadge)",158,21.162103,78.399287,240.84,"40000","01-09-2021","{""car_single"":null,""car_multi"":85,""car_monthly"":1715,""lcv_single"":null,""lcv_multi"":150,""lcv_monthly"":3000,""bus_multi"":300,""bus_monthly"":6005,""multiaxle_single"":320,""multiaxle_multi"":480,""multiaxle_monthly"":9650,""hcm_single"":430,""hcm_multi"":645,""hcm_monthly"":12865,""four_six_axle_single"":320,""four_six_axle_multi"":480,""four_six_axle_monthly"":9650,""seven_plus_axle_single"":320,""seven_plus_axle_multi"":480,""seven_plus_axle_monthly"":9650}","<b style='color:#22A7EA'>Karanja (Ghadge)</b><br/><b> </b> M/s Oriental Pathways (Nagpur) Pvt Ltd","212.00","BOT (Toll)","21-04-2008","18-03-2008","1997","06.09.2006-05.09.2026",13376,,"M/s Oriental Pathways (Nagpur) Pvt Ltd","Mr Ravindra Vaidya / 8390907714"
"Srinagar",159,28.00548,77.332377,266.3,"120000","01-04-2021","{""car_single"":null,""car_multi"":165,""car_monthly"":3695,""lcv_single"":null,""lcv_multi"":270,""lcv_monthly"":5970,""bus_multi"":565,""bus_monthly"":12510,""multiaxle_single"":590,""multiaxle_multi"":885,""multiaxle_monthly"":19620,""hcm_single"":590,""hcm_multi"":885,""hcm_monthly"":19620,""four_six_axle_single"":590,""four_six_axle_multi"":885,""four_six_axle_monthly"":19620,""seven_plus_axle_single"":715,""seven_plus_axle_multi"":1075,""seven_plus_axle_monthly"":23885}","<b style='color:#22A7EA'>Srinagar</b><br/><b> </b> M/s DA Toll Road Pvt Ltd","1928.00","BOT (Toll)","18-01-2010","10-06-2002","2008","16.10.2012-15.10.2038",38506,62608,"M/s DA Toll Road Pvt Ltd","/ 0"
"Mahuvan",160,27.337188,77.737458,379.81,"120000","01-04-2021","{""car_single"":null,""car_multi"":165,""car_monthly"":3695,""lcv_single"":null,""lcv_multi"":270,""lcv_monthly"":5970,""bus_multi"":565,""bus_monthly"":12510,""multiaxle_single"":590,""multiaxle_multi"":885,""multiaxle_monthly"":19620,""hcm_single"":590,""hcm_multi"":885,""hcm_monthly"":19620,""four_six_axle_single"":590,""four_six_axle_multi"":885,""four_six_axle_monthly"":19620,""seven_plus_axle_single"":715,""seven_plus_axle_multi"":1075,""seven_plus_axle_monthly"":23885}","<b style='color:#22A7EA'>Mahuvan</b><br/><b> </b> M/s DA Toll Road Pvt Ltd","1928.00","BOT (Toll)","18-01-2010","10-06-2002","2008","16.10.2012-15.10.2038",37532,62608,"M/s DA Toll Road Pvt Ltd","NA / 0"
"Lalanagar",161,25.266948,82.491513,272.23,"NA","01-04-2021","{""car_single"":null,""car_multi"":290,""car_monthly"":6395,""lcv_single"":null,""lcv_multi"":465,""lcv_monthly"":10330,""bus_multi"":975,""bus_monthly"":21645,""multiaxle_single"":710,""multiaxle_multi"":1060,""multiaxle_monthly"":23610,""hcm_single"":1020,""hcm_multi"":1525,""hcm_monthly"":33940,""four_six_axle_single"":1020,""four_six_axle_multi"":1525,""four_six_axle_monthly"":33940,""seven_plus_axle_single"":1240,""seven_plus_axle_multi"":1860,""seven_plus_axle_monthly"":41320}","<b style='color:#22A7EA'>Lalanagar</b><br/><b> </b> Jawahar Lal Gupta","295.62","Public Funded","21-02-2013","19-04-2008","2008 as amended with transition","14.03.2016 - 13.03.2017",33287,26431,"Jawahar Lal Gupta","Sh.  Deepak Rajpal / 8433999990"
"Salemgarh",162,26.631703,84.238336,52.11,"NA","01-04-2021","{""car_single"":null,""car_multi"":80,""car_monthly"":1760,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2840,""bus_multi"":270,""bus_monthly"":5950,""multiaxle_single"":195,""multiaxle_multi"":290,""multiaxle_monthly"":6490,""hcm_single"":280,""hcm_multi"":420,""hcm_monthly"":9335,""four_six_axle_single"":280,""four_six_axle_multi"":420,""four_six_axle_monthly"":9335,""seven_plus_axle_single"":340,""seven_plus_axle_multi"":510,""seven_plus_axle_monthly"":11360}","<b style='color:#22A7EA'>Salemgarh</b><br/><b> </b> M/s Gorakhpur-Kasiya Tollways Pvt Ltd","455.58","OMT","22-05-2012","16-12-2012","2008 as amended","05.08.2015-04.08.2024",15127,,"M/s Gorakhpur-Kasiya Tollways Pvt Ltd","Pradeep / 7409312174"
"Muziana Hetim",163,26.733855,83.808555,0,0,"01-04-2021","{""car_single"":null,""car_multi"":80,""car_monthly"":1765,""lcv_single"":null,""lcv_multi"":130,""lcv_monthly"":2855,""bus_multi"":270,""bus_monthly"":5980,""multiaxle_single"":195,""multiaxle_multi"":295,""multiaxle_monthly"":6525,""hcm_single"":280,""hcm_multi"":420,""hcm_monthly"":9380,""four_six_axle_single"":280,""four_six_axle_multi"":420,""four_six_axle_monthly"":9380,""seven_plus_axle_single"":345,""seven_plus_axle_multi"":515,""seven_plus_axle_monthly"":11415}","<b style='color:#22A7EA'>Muziana Hetim</b><br/><b> </b> M/s Gorakhpur Kasiya Toll way Pvt Ltd",0,"OMT",,,,,,,,
"Chaukadi",164,26.781312,82.417008,0,0,"01-04-2021","{""car_single"":null,""car_multi"":160,""car_monthly"":3505,""lcv_single"":null,""lcv_multi"":250,""lcv_monthly"":5515,""bus_multi"":510,""bus_monthly"":11375,""multiaxle_single"":375,""multiaxle_multi"":560,""multiaxle_monthly"":12445,""hcm_single"":525,""hcm_multi"":790,""hcm_monthly"":17550,""four_six_axle_single"":525,""four_six_axle_multi"":790,""four_six_axle_monthly"":17550,""seven_plus_axle_single"":660,""seven_plus_axle_multi"":995,""seven_plus_axle_monthly"":22060}","<b style='color:#22A7EA'>Chaukadi</b><br/><b> </b> M/s Ayodhya-Gorakhpur Sms Toll Pvt Ltd",0,"OMT",,,,,,,,
"Katoghan",165,25.749487,81.170481,225.86,"NA","01-04-2019","{""car_single"":null,""car_multi"":85,""car_monthly"":1840,""lcv_single"":null,""lcv_multi"":135,""lcv_monthly"":2975,""bus_multi"":280,""bus_monthly"":6235,""multiaxle_single"":205,""multiaxle_multi"":305,""multiaxle_monthly"":6800,""hcm_single"":295,""hcm_multi"":440,""hcm_monthly"":9775,""four_six_axle_single"":295,""four_six_axle_multi"":440,""four_six_axle_monthly"":9775,""seven_plus_axle_single"":355,""seven_plus_axle_multi"":535,""seven_plus_axle_monthly"":11900}","<b style='color:#22A7EA'>Katoghan</b><br/><b> </b> Ms Dimple Chaudhary","265.77","Public Funded","29-01-2013","18-07-2007","2008 as amended with transition","NA",24808,,"Ms Dimple Chaudhary","Pankaj Pandey / 9795653752"
"Gurapalli",166,19.638154,85.140017,0,0,"01-04-2021","{""car_single"":null,""car_multi"":130,""car_monthly"":2855,""lcv_single"":null,""lcv_multi"":205,""lcv_monthly"":4610,""bus_multi"":435,""bus_monthly"":9660,""multiaxle_single"":315,""multiaxle_multi"":475,""multiaxle_monthly"":10535,""hcm_single"":455,""hcm_multi"":680,""hcm_monthly"":15145,""four_six_axle_single"":455,""four_six_axle_multi"":680,""four_six_axle_monthly"":15145,""seven_plus_axle_single"":555,""seven_plus_axle_multi"":830,""seven_plus_axle_monthly"":18440}","<b style='color:#22A7EA'>Gurapalli</b><br/><b> </b> Sonu Kumar",0,"Public Funded",,,,,,,,
"Srirampur",168,20.678864,86.165581,0,0,"01-04-2021","{""car_single"":null,""car_multi"":190,""car_monthly"":4265,""lcv_single"":null,""lcv_multi"":310,""lcv_monthly"":6890,""bus_multi"":650,""bus_monthly"":14440,""multiaxle_single"":475,""multiaxle_multi"":710,""multiaxle_monthly"":15755,""hcm_single"":680,""hcm_multi"":1020,""hcm_monthly"":22645,""four_six_axle_single"":680,""four_six_axle_multi"":1020,""four_six_axle_monthly"":22645,""seven_plus_axle_single"":825,""seven_plus_axle_multi"":1240,""seven_plus_axle_monthly"":27570}","<b style='color:#22A7EA'>Srirampur</b><br/><b> </b> M/s Sh. Bholanath Rajpati Shukla",0,"Public Funded",,,,,,,,
"Gudipada (Old Gangapada)",169,20.20348,85.668597,0,0,"01-04-2021","{""car_single"":null,""car_multi"":110,""car_monthly"":2445,""lcv_single"":null,""lcv_multi"":180,""lcv_monthly"":3950,""bus_multi"":375,""bus_monthly"":8280,""multiaxle_single"":270,""multiaxle_multi"":405,""multiaxle_monthly"":9035,""hcm_single"":390,""hcm_multi"":585,""hcm_monthly"":12985,""four_six_axle_single"":390,""four_six_axle_multi"":585,""four_six_axle_monthly"":12985,""seven_plus_axle_single"":475,""seven_plus_axle_multi"":710,""seven_plus_axle_monthly"":15810}","<b style='color:#22A7EA'>Gudipada (Old Gangapada)</b><br/><b> </b> Bholanath Rajpati Shukla",0,"Public Funded",,,,,,,,
"Sergarh",170,21.429889,86.836645,0,0,"01-04-2019","{""car_single"":null,""car_multi"":90,""car_monthly"":1990,""lcv_single"":null,""lcv_multi"":145,""lcv_monthly"":3215,""bus_multi"":305,""bus_monthly"":6735,""multiaxle_single"":220,""multiaxle_multi"":330,""multiaxle_monthly"":7345,""hcm_single"":315,""hcm_multi"":475,""hcm_monthly"":10560,""four_six_axle_single"":315,""four_six_axle_multi"":475,""four_six_axle_monthly"":10560,""seven_plus_axle_single"":385,""seven_plus_axle_multi"":580,""seven_plus_axle_monthly"":12855}","<b style='color:#22A7EA'>Sergarh</b><br/><b> </b> Bholanath Rajpati Shukla",0,"Public Funded",,,,,,,,
"Panikholi",171,20.897746,86.21625,0,0,"01-04-2019","{""car_single"":null,""car_multi"":130,""car_monthly"":2840,""lcv_single"":null,""lcv_multi"":205,""lcv_monthly"":4585,""bus_multi"":435,""bus_monthly"":9610,""multiaxle_single"":315,""multiaxle_multi"":470,""multiaxle_monthly"":10485,""hcm_single"":450,""hcm_multi"":680,""hcm_monthly"":15075,""four_six_axle_single"":450,""four_six_axle_multi"":680,""four_six_axle_monthly"":15075,""seven_plus_axle_single"":550,""seven_plus_axle_multi"":825,""seven_plus_axle_monthly"":18350}","<b style='color:#22A7EA'>Panikholi</b><br/><b> </b> M/s Sahakar Global Ltd",0,"Public Funded",,,,,,,,
